radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,250,2,7815,199936260,0,30.259842,59.894581,1008,10,1,1458925949,1548697548,0
LTE,250,2,7814,202088325,0,30.300522,59.846878,1000,3,1,1458925949,1482937357,0
LTE,250,2,7815,199947266,0,30.277634,59.904591,1000,13,1,1458925950,1481202401,0
LTE,250,2,7815,199948802,0,30.277633666992,59.91325378418,1000,2,1,1458925950,1465705083,0
LTE,250,2,7815,201228802,0,30.273514,59.900571,1000,34,1,1458925950,1491832871,0
LTE,250,2,7816,201090818,0,30.188689,59.859247,1077,26,1,1458925950,1551843812,0
LTE,250,2,7815,202002443,0,30.26252746582,59.909133911133,1000,4,1,1458925950,1460188758,0
LTE,250,2,7816,201219588,0,30.20539,59.815316,6310,44,1,1458925951,1506146681,0
LTE,250,2,7815,202036100,0,30.282852,59.909134,1000,10,1,1458925950,1481159592,0
LTE,250,2,7816,201217281,0,30.225448,59.868622,1000,2,1,1458925950,1461309929,0
LTE,250,2,7815,202079876,0,30.270268,59.910133,1000,11,1,1458925950,1471963479,0
LTE,250,2,7815,202079856,0,30.268020629883,59.909133911133,1000,1,1,1438386311,1438386311,0
LTE,250,2,7816,201220608,0,30.28450012207,59.851455688477,1000,1,1,1408433849,1408433849,0
LTE,250,2,7816,201218308,0,30.279006958008,59.832229614258,1000,1,1,1454509178,1454509178,0
LTE,250,2,7815,202065795,0,30.258015,59.880001,1000,14,1,1458925950,1490099068,0
LTE,250,2,7815,202014219,0,30.243301391602,59.894027709961,1000,2,1,1458925950,1470820412,0
LTE,250,2,7815,202091377,0,30.211715698242,59.885787963867,1000,1,1,1438092445,1438092445,0
LTE,250,2,7816,201217283,0,30.260943,59.885788,1000,13,1,1458925950,1490135420,0
LTE,250,2,7815,202091376,0,30.229568481445,59.870681762695,1000,1,1,1431420470,1431420470,0
LTE,250,2,7816,201990667,0,30.270767,59.850998,1000,3,1,1458925952,1475761760,0
LTE,250,2,7816,202024324,0,30.243301391602,59.852828979492,1000,1,1,1455795989,1455795989,0
LTE,250,2,7816,202024305,0,30.236434936523,59.851455688477,1000,1,1,1438908248,1438908248,0
LTE,250,2,7816,202008844,0,30.206476,59.84358,1000,5,1,1458925952,1505299838,0
LTE,250,2,7816,201228032,0,30.229912,59.858624,1000,31,1,1458925952,1566701475,0
LTE,250,2,7816,201231616,0,30.233688354492,59.856948852539,1000,1,1,1440636938,1440636938,0
LTE,250,2,7816,202024325,0,30.237808227539,59.852828979492,1000,1,1,1454931522,1454931522,0
