radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,250,99,1225,40042,0,30.315857,59.956741,1000,30,1,1238763896,1238763896,0
GSM,250,99,1225,40382,0,30.302078,59.948959,1000,5,1,1238761799,1238761799,0
GSM,250,99,1225,40232,0,30.295486450195,59.955825805664,1000,1,1,1238761799,1238761799,0
GSM,250,99,1225,40182,0,30.293427,59.957199,1000,8,1,1238763875,1238763875,0
GSM,250,99,1227,14043,0,30.467148,59.919386,1000,43,1,1238764002,1238764002,0
GSM,250,99,1227,14042,0,30.468992,59.919963,1000,35,1,1238764002,1238764002,0
GSM,250,99,1223,42032,0,30.327072143555,59.93522644043,1000,3,1,1238761978,1238761978,0
GSM,250,99,1223,42031,0,30.327072143555,59.93522644043,1000,3,1,1238761978,1238761978,0
GSM,250,99,1225,40362,0,30.31608581543,59.961318969727,1000,1,1,1238761984,1238761984,0
GSM,250,99,1225,40055,0,30.313339233398,59.964065551758,1000,2,1,1238761984,1238761984,0
GSM,250,99,1227,13601,0,30.458908081055,59.961318969727,1000,4,1,1238762171,1238762171,0
GSM,250,99,1227,13131,0,30.46028137207,59.961318969727,1000,4,1,1238762173,1238762173,0
GSM,250,99,1227,13143,0,30.472366,59.950333,1000,5,1,1238781973,1393017909,0
GSM,250,99,1227,14055,0,30.465958,59.906113,1000,15,1,1238782002,1391922961,0
GSM,250,99,1227,30102,0,30.40397644043,59.939346313477,1000,1,1,1238762279,1238762279,0
GSM,250,99,1227,13623,0,30.40397644043,59.946212768555,1000,1,1,1238762279,1238762279,0
GSM,250,99,1225,11211,0,30.335312,59.985155,1000,14,1,1238762611,1238762611,0
GSM,250,99,1225,10231,0,30.335311889648,59.984664916992,1000,3,1,1238762612,1238762612,0
GSM,250,99,1225,40731,0,30.311965942383,59.984664916992,1000,1,1,1238762612,1238762612,0
GSM,250,99,1228,10332,0,30.294388,60.003067,1000,15,1,1238763876,1238763876,0
GSM,250,99,1228,10092,0,30.276346,60.002689,1000,16,1,1238762889,1238762889,0
GSM,250,99,1227,14622,0,30.470327,59.904374,1000,73,1,1238782557,1391923012,0
GSM,250,99,1223,42151,0,30.344844,59.938862,1000,17,1,1238762844,1238762844,0
GSM,250,99,1223,42922,0,30.345069,59.941912,1000,38,1,1238762814,1238762814,0
GSM,250,99,1223,42261,0,30.342751,59.943352,1000,12,1,1238762853,1238762853,0
GSM,250,99,1225,42631,0,30.350954,59.947854,1000,41,1,1238762816,1238762816,0
GSM,250,99,1225,42572,0,30.356064,59.947586,1000,54,1,1238762851,1238762851,0
GSM,250,99,1223,42263,0,30.335311889648,59.942092895508,1000,2,1,1238762838,1238762838,0
GSM,250,99,1225,40573,0,30.314712524414,59.962692260742,1000,1,1,1238762838,1238762838,0
GSM,250,99,1223,42145,0,30.339431762695,59.937973022461,1000,4,1,1238762951,1238762951,0
GSM,250,99,1223,42141,0,30.339661,59.937973,1000,6,1,1238762843,1238762843,0
GSM,250,99,1223,42153,0,30.342202,59.937973,1000,59,1,1238762844,1238762844,0
GSM,250,99,1227,42227,0,30.36003112793,59.94758605957,1000,7,1,1238762850,1238762850,0
GSM,250,99,1225,42723,0,30.359472,59.946467,1000,27,1,1238762853,1238762853,0
GSM,250,99,1225,42722,0,30.359573,59.947128,1000,15,1,1238762853,1238762853,0
GSM,250,99,1225,42721,0,30.359879,59.947586,1000,9,1,1238762851,1238762851,0
GSM,250,99,1223,42181,0,30.359138,59.947449,1000,20,1,1238762852,1238762852,0
GSM,250,99,1223,42183,0,30.358657836914,59.946212768555,1000,7,1,1238762852,1238762852,0
GSM,250,99,1224,40351,0,30.302352905273,59.977798461914,1000,1,1,1238762853,1238762853,0
GSM,250,99,1228,10363,0,30.274429,60.001144,1000,15,1,1238763757,1238763757,0
GSM,250,99,1225,10312,0,30.332222,59.983635,1000,4,1,1238763008,1238763008,0
GSM,250,99,1225,10232,0,30.321578979492,59.976425170898,1000,3,1,1238763008,1238763008,0
GSM,250,99,1223,42296,0,30.342571,59.926987,1000,7,1,1238763271,1238763271,0
GSM,250,99,1223,42683,0,30.344238,59.929047,1000,2,1,1238763271,1238763271,0
GSM,250,99,1228,11166,0,30.325824,60.008885,1000,11,1,1238763313,1238763313,0
GSM,250,99,1228,11162,0,30.327026,60.005585,1000,30,1,1238763337,1238763337,0
GSM,250,99,1228,11177,0,30.325698852539,60.00114440918,1000,3,1,1238763313,1238763313,0
GSM,250,99,1228,11053,0,30.335367,60.052632,1000,124,1,1238783124,1239752858,0
GSM,250,99,1228,11493,0,30.336903,60.054594,1000,63,1,1238783127,1239752673,0
GSM,250,99,1228,11293,0,30.336685,60.05723,1000,25,1,1238763329,1238763329,0
GSM,250,99,1228,11292,0,30.337028,60.05702,1000,32,1,1238763330,1238763330,0
GSM,250,99,1228,11291,0,30.336685180664,60.058822631836,1000,2,1,1238763328,1238763328,0
GSM,250,99,1228,11582,0,30.318832397461,60.025863647461,1000,4,1,1238763331,1238763331,0
GSM,250,99,1228,11751,0,30.320354,60.021224,1000,37,1,1238763335,1238763335,0
GSM,250,99,1228,11753,0,30.322151,60.016823,1000,12,1,1238763335,1238763335,0
GSM,250,99,1225,10323,0,30.307571,59.991531,1000,5,1,1238763344,1238763344,0
GSM,250,99,1224,10381,0,30.283127,59.987412,1000,2,1,1238763346,1238763346,0
GSM,250,99,1224,10382,0,30.287246704102,59.987411499023,1000,1,1,1238763346,1238763346,0
GSM,250,99,1224,10181,0,30.255661010742,59.994277954102,1000,2,1,1238763346,1238763346,0
GSM,250,99,1224,10171,0,30.244674682617,59.995651245117,1000,11,1,1238763751,1238763751,0
GSM,250,99,1228,12023,0,30.376457,60.034615,1000,51,1,1238763822,1238763822,0
GSM,250,99,1228,12211,0,30.375595,60.034103,1000,3,1,1238763822,1238763822,0
GSM,250,99,1228,12081,0,30.388269,60.031443,1000,16,1,1238763821,1238763821,0
GSM,250,99,1228,11083,0,30.340805053711,60.042343139648,1000,1,1,1238763741,1238763741,0
GSM,250,99,1221,64983,0,29.595871,60.255181,1000,63,1,1238763750,1238763750,0
GSM,250,99,1221,64981,0,29.598066,60.256418,1000,78,1,1238763749,1238763749,0
GSM,250,99,1221,64985,0,29.597204,60.257299,1000,19,1,1238763744,1238763744,0
GSM,250,99,1224,10187,0,30.244904,59.995651,1000,12,1,1238763753,1238763753,0
GSM,250,99,1224,10072,0,30.244674682617,59.995651245117,1000,2,1,1238763751,1238763751,0
GSM,250,99,1224,10185,0,30.244674682617,59.995651245117,1000,1,1,1238763753,1238763753,0
GSM,250,99,1228,10603,0,30.265274047852,59.999771118164,1000,1,1,1238763757,1238763757,0
GSM,250,99,1228,10602,0,30.2742,59.999313,1000,6,1,1238763757,1238763757,0
GSM,250,99,1228,12273,0,30.388745,60.035102,1000,11,1,1238763817,1238763817,0
GSM,250,99,1228,12022,0,30.38200378418,60.036849975586,1000,1,1,1238763817,1238763817,0
GSM,250,99,1228,12021,0,30.38200378418,60.036849975586,1000,1,1,1238763817,1238763817,0
GSM,250,99,1228,11116,0,30.376510620117,60.03547668457,1000,1,1,1238763821,1238763821,0
GSM,250,99,1221,44233,0,29.595108032227,60.253829956055,1000,1,1,1238763841,1238763841,0
GSM,250,99,1225,40422,0,30.291366577148,59.953079223633,1000,4,1,1238763874,1238763874,0
GSM,250,99,1225,40423,0,30.293198,59.956284,1000,3,1,1238763875,1238763875,0
GSM,250,99,1223,42532,0,30.354538,59.926987,1000,4,1,1238763894,1238763894,0
GSM,250,99,1225,40241,0,30.301666,59.957199,1000,2,1,1238763896,1238763896,0
GSM,250,99,1228,11732,0,30.348411,60.000616,1000,13,1,1238763996,1238763996,0
GSM,250,99,1228,11193,0,30.364405,59.997889,1000,27,1,1238763998,1238763998,0
GSM,250,99,1228,11641,0,30.360718,59.998398,1000,6,1,1238763997,1238763997,0
GSM,250,99,1228,11642,0,30.362403,59.997774,1000,11,1,1238763998,1238763998,0
GSM,250,99,1227,13323,0,30.475388,59.937515,1000,3,1,1238764001,1238764001,0
GSM,250,99,1227,14057,0,30.429428,59.91655,1000,15,1,1238764116,1238764116,0
GSM,250,99,1227,13563,0,30.411071,59.92218,1000,6,1,1238783915,1404324010,0
GSM,250,20,850,71,0,30.239731,59.841843,1000,5,1,1238765017,1238765017,0
GSM,250,20,850,1882,0,30.30647277832,59.870681762695,1000,1,1,1238765302,1238765302,0
GSM,250,20,100,1521,0,30.005722045898,60.051956176758,1000,1,1,1238765473,1238765473,0
GSM,250,20,800,1961,0,30.404166,59.841776,1000,225,1,1238785536,1267870634,0
GSM,250,20,800,2952,0,30.404641,59.84233,1000,93,1,1238765807,1238765807,0
GSM,250,20,800,1963,0,30.402936,59.841388,1000,157,1,1238765807,1238765807,0
GSM,250,20,960,1613,0,30.437829,59.876267,1000,149,1,1238785540,1280898092,0
GSM,250,20,800,1901,0,30.411371,59.836138,1000,13,1,1238785598,1267870651,0
GSM,250,20,450,3512,0,30.347671508789,59.928359985352,1000,1,1,1238766514,1238766514,0
GSM,250,20,960,2973,0,30.40397644043,59.873428344727,1000,2,1,1238766626,1238766626,0
GSM,250,20,200,1432,0,30.320205688477,60.036849975586,1000,1,1,1238766626,1238766626,0
GSM,250,20,19680,1343,0,30.307768,59.956893,9534,31,1,1238786498,1492465702,0
GSM,250,20,100,1091,0,29.8703,60.17217,1000,54,1,1238767016,1238767016,0
GSM,250,20,100,1063,0,30.126571655273,60.121994018555,1000,7,1,1238766854,1238766854,0
GSM,250,20,100,1082,0,30.126571655273,60.121994018555,1000,11,1,1238766854,1238766854,0
GSM,250,20,100,4002,0,29.703598,60.205078,1000,4,1,1238766856,1238766856,0
GSM,250,20,100,4003,0,29.699803,60.205765,1000,38,1,1238766856,1238766856,0
GSM,250,20,100,1111,0,29.700302,60.205765,1000,5,1,1238766856,1238766856,0
GSM,250,20,100,1112,0,29.733810424805,60.193405151367,1000,1,1,1238766856,1238766856,0
GSM,250,20,100,1103,0,29.80426,60.184891,1017,10,1,1238766856,1238766856,0
GSM,250,20,100,1531,0,29.942712,60.15875,1000,17,1,1238767015,1238767015,0
GSM,250,20,100,1092,0,29.902725219727,60.165939331055,1000,1,1,1238766856,1238766856,0
GSM,250,20,400,1072,0,30.63606262207,59.78141784668,1000,41,1,1238766872,1238766872,0
GSM,250,20,100,1081,0,30.012588500977,60.143966674805,1000,1,1,1238766856,1238766856,0
GSM,250,20,400,1075,0,30.63606262207,59.78141784668,1000,1,1,1238766872,1238766872,0
GSM,250,20,400,1071,0,30.612716674805,59.792404174805,1000,1,1,1238766872,1238766872,0
GSM,250,20,800,3032,0,30.581130981445,59.811630249023,1000,1,1,1238766872,1238766872,0
GSM,250,20,800,151,0,30.52723,59.831028,1067,8,1,1238766872,1238766872,0
GSM,250,20,800,1912,0,30.5056,59.837036,1000,4,1,1238766872,1238766872,0
GSM,250,20,800,1913,0,30.490494,59.841156,1000,2,1,1238766872,1238766872,0
GSM,250,20,800,2932,0,30.487061,59.842529,1000,2,1,1238786673,1252994881,0
GSM,250,20,800,1292,0,30.483627319336,59.844589233398,1000,2,1,1238766873,1238766873,0
GSM,250,20,800,1291,0,30.478134155273,59.858322143555,1000,1,1,1238766873,1238766873,0
GSM,250,20,800,1992,0,30.471954,59.864502,1000,4,1,1238766873,1238766873,0
GSM,250,20,960,163,0,30.452728,59.863815,1000,2,1,1238766873,1238766873,0
GSM,250,20,800,4342,0,30.433502,59.853516,1000,2,1,1238766873,1238766873,0
GSM,250,20,19670,2951,0,30.398209,59.853287,1000,15,1,1238786673,1471212280,0
GSM,250,20,19670,2943,0,30.366996,59.844001,1000,14,1,1238786673,1478375136,0
GSM,250,20,19670,50161,0,30.324325561523,59.851455688477,1000,1,1,1238766899,1238766899,0
GSM,250,20,19670,2361,0,30.405807,59.872971,1000,12,1,1238786727,1434122945,0
GSM,250,20,100,1042,0,30.000228881836,60.051956176758,1000,1,1,1238766941,1238766941,0
GSM,250,20,100,1102,0,29.877666,60.171091,3830,8,1,1238767016,1238767016,0
GSM,250,20,350,1683,0,30.395736694336,59.981918334961,1000,1,1,1238767068,1238767068,0
GSM,250,20,19670,1381,0,30.331188,59.85834,1000,313,1,1238767509,1238767509,0
GSM,250,20,850,212,0,30.330686,59.858467,1000,19,1,1238767509,1238767509,0
GSM,250,20,19670,1981,0,30.337219,59.858526,1000,121,1,1238767509,1238767509,0
GSM,250,20,19670,1382,0,30.34151,59.841694,1859,37,1,1238787298,1260812148,0
GSM,250,20,850,1372,0,30.329818725586,59.858322143555,1000,8,1,1238767509,1238767509,0
GSM,250,20,450,2301,0,30.331192,59.922104,1000,9,1,1238787596,1267857326,0
GSM,250,2,7807,668,0,30.45605,59.767412,5551,24,1,1238792895,1249208221,0
GSM,250,2,7807,24111,0,30.384359,59.740977,5053,93,1,1238792895,1250584439,0
GSM,250,2,7807,24007,0,30.361462,59.745258,2699,27,1,1238792896,1250584516,0
GSM,250,2,7807,24114,0,30.331934,59.754059,3679,26,1,1238792945,1250584439,0
GSM,250,2,7807,547,0,30.577017,59.751403,1000,250,1,1238792967,1249207690,0
GSM,250,2,7807,13169,0,30.577951,59.752244,1000,168,1,1238792967,1249207534,0
GSM,250,2,7807,13166,0,30.572746,59.751191,3084,180,1,1238792967,1249207944,0
GSM,250,2,7807,749,0,30.609324,59.747732,1000,17,1,1238792968,1246782388,0
GSM,250,2,7807,747,0,30.612717,59.745657,1000,25,1,1238792969,1246782375,0
GSM,250,2,7807,30109,0,30.611873,59.735726,1000,70,1,1238773245,1238773245,0
GSM,250,2,7807,30106,0,30.61462,59.734445,3652,39,1,1238792971,1246782072,0
GSM,250,2,7807,8297,0,30.605608,59.736584,1000,17,1,1238773245,1238773245,0
GSM,250,2,7807,30110,0,30.604477,59.739304,1000,3,1,1238773245,1238773245,0
GSM,250,2,7807,30107,0,30.603103637695,59.741592407227,1000,5,1,1238773245,1238773245,0
GSM,250,2,7807,30105,0,30.60173034668,59.747085571289,1000,2,1,1238773245,1238773245,0
GSM,250,2,7807,13167,0,30.605164,59.746857,1000,6,1,1238793045,1246611650,0
GSM,250,2,7807,13164,0,30.592016,59.758813,2064,13,1,1238793097,1246782617,0
GSM,250,2,7807,30143,0,30.592881,59.757614,1171,27,1,1238793097,1246782544,0
GSM,250,2,7805,2061,0,30.387496948242,59.999771118164,1000,2,1,1238773757,1238773757,0
GSM,250,2,4711,10330,0,30.432816,60.032142,1000,7,1,1238793560,1458373415,0
GSM,250,2,4711,10328,0,30.432599,60.035188,1000,19,1,1238793560,1458373426,0
GSM,250,2,4711,13285,0,30.432663,60.034103,1223,9,1,1238793560,1466618265,0
GSM,250,2,7810,12412,0,30.268756,60.00649,1000,28,1,1238793581,1481297342,0
GSM,250,2,7810,36120,0,30.268020629883,60.008010864258,1000,4,1,1238773782,1238773782,0
GSM,250,2,7810,36141,0,30.293328,60.002518,1000,14,1,1238773892,1238773892,0
GSM,250,2,4711,12171,0,30.438919,60.040919,1000,27,1,1238793727,1471170362,0
GSM,250,2,4711,11356,0,30.451732,60.033534,1147,53,1,1238793729,1461947958,0
GSM,250,2,4711,1958,0,30.438156,60.032578,1504,18,1,1238793738,1467732313,0
GSM,250,2,4711,13280,0,30.457317,60.017012,1000,101,1,1238793738,1466866217,0
GSM,250,2,4711,1473,0,30.463629,60.009041,1000,16,1,1238793741,1469271865,0
GSM,250,2,4711,13283,0,30.457535,60.016113,1000,20,1,1238793741,1466618265,0
GSM,250,2,4711,12067,0,30.442703,60.00911,1000,5,1,1238793756,1466329693,0
GSM,250,2,7805,12991,0,30.381729,59.992836,1000,20,1,1238798479,1414731604,0
GSM,250,2,4712,8349,0,29.773357,59.990529,1000,74,1,1238778805,1238778805,0
GSM,250,2,4712,8352,0,29.777755737305,59.992904663086,1000,1,1,1238778764,1238778764,0
GSM,250,2,4712,20557,0,29.74783,60.001087,1000,24,1,1238778803,1238778803,0
GSM,250,2,4712,20559,0,29.728696,60.016339,1000,47,1,1238778802,1238778802,0
GSM,250,2,4712,10224,0,29.726917,60.016143,1000,51,1,1238778802,1238778802,0
GSM,250,2,4712,8350,0,29.792175,60.021744,1000,2,1,1238778766,1238778766,0
GSM,250,2,4712,20752,0,30.090718,59.999498,2224,55,1,1238778796,1238778796,0
GSM,250,2,4712,4937,0,30.129057,59.994867,1007,21,1,1238778796,1238778796,0
GSM,250,2,4712,8580,0,30.145248,59.992905,1000,5,1,1238778770,1238778770,0
GSM,250,2,4712,20758,0,30.143395,59.993893,1564,32,1,1238778796,1238778796,0
GSM,250,2,4712,20747,0,30.177406,59.990339,1000,61,1,1238779910,1238779910,0
GSM,250,2,4712,20745,0,30.197372,59.989548,1000,18,1,1238779910,1238779910,0
GSM,250,2,4712,20741,0,30.204849,59.988785,1000,2,1,1238778771,1238778771,0
GSM,250,2,4712,3219,0,30.213638,59.987412,1000,5,1,1238778771,1238778771,0
GSM,250,2,4712,8414,0,30.21662,59.987019,1000,7,1,1238778771,1238778771,0
GSM,250,2,4712,8410,0,30.22316,59.986038,1000,3,1,1238778771,1238778771,0
GSM,250,2,4712,36018,0,30.226821899414,59.986038208008,1000,3,1,1238778771,1238778771,0
GSM,250,2,4712,36017,0,30.228348,59.98558,1000,9,1,1238778772,1238778772,0
GSM,250,2,7811,5976,0,30.235977,59.984665,1000,9,1,1238778772,1238778772,0
GSM,250,2,7811,5973,0,30.2379,59.984116,1000,15,1,1238779910,1238779910,0
GSM,250,2,7811,23065,0,30.303105,59.981526,1000,42,1,1238798572,1471690894,0
GSM,250,2,7811,23053,0,30.325883,59.977636,1000,127,1,1238798573,1471919202,0
GSM,250,2,7801,14168,0,30.360031,59.935913,1000,10,1,1238798581,1241252883,0
GSM,250,2,4712,8579,0,30.146877,59.995553,1000,14,1,1238778795,1238778795,0
GSM,250,2,4712,652,0,30.09613,59.998398,1000,6,1,1238778796,1238778796,0
GSM,250,2,4712,10646,0,30.020618,60.010652,1000,13,1,1238778797,1238778797,0
GSM,250,2,4712,11943,0,29.71808,60.014877,1000,11,1,1238778802,1238778802,0
GSM,250,2,4712,6943,0,29.752899,59.993591,1000,10,1,1238778803,1238778803,0
GSM,250,2,4712,12742,0,29.756058,59.99161,1000,35,1,1238778804,1238778804,0
GSM,250,2,4712,6941,0,29.760418,59.989471,1000,8,1,1238778805,1238778805,0
GSM,250,2,7811,36005,0,30.239181518555,59.984664916992,1000,1,1,1238779909,1238779909,0
GSM,250,2,7811,5974,0,30.237023,59.984665,1000,7,1,1238779910,1238779910,0
GSM,250,2,7809,16086,0,30.331192016602,59.858322143555,1000,1,1,1238780259,1238780259,0
GSM,250,2,7801,14203,0,30.3631,59.93125,1000,115,1,1238800741,1248394752,0
GSM,250,2,7805,12082,0,30.431442260742,59.99153137207,1000,1,1,1238783239,1238783239,0
GSM,250,1,350,12813,0,30.412216186523,59.850082397461,1000,4,1,1238791595,1238791595,0
GSM,250,1,150,5143,0,30.427322387695,59.694900512695,1000,7,1,1238784372,1238784372,0
GSM,250,1,150,5146,0,30.427214,59.695587,1000,38,1,1238784373,1238784373,0
GSM,250,1,150,15125,0,30.422463,59.700499,1000,52,1,1238784372,1238784372,0
GSM,250,1,150,15122,0,30.422242,59.700394,1000,10,1,1238784372,1238784372,0
GSM,250,1,150,15121,0,30.413874,59.710812,1000,29,1,1238784361,1238784361,0
GSM,250,1,350,11343,0,30.412216186523,59.850082397461,1000,2,1,1238783373,1238783373,0
GSM,250,1,250,3145,0,30.494344,59.898148,1000,117,1,1238783483,1238783483,0
GSM,250,1,150,15132,0,30.411324,59.71344,1000,20,1,1238784370,1238784370,0
GSM,250,1,150,16392,0,30.425575,59.697273,1000,11,1,1238784372,1238784372,0
GSM,250,1,150,6202,0,30.419312,59.715347,1000,18,1,1238784361,1238784361,0
GSM,250,1,150,16962,0,30.413589477539,59.722366333008,1000,1,1,1238783949,1238783949,0
GSM,250,1,150,5172,0,30.396093,59.729716,1181,54,1,1238784368,1238784368,0
GSM,250,1,150,5175,0,30.394883,59.731237,1000,37,1,1238784367,1238784367,0
GSM,250,1,150,5171,0,30.381645,59.741825,3789,125,1,1238803750,1243245766,0
GSM,250,1,150,5174,0,30.392675,59.73781,1000,61,1,1238784366,1238784366,0
GSM,250,1,150,3022,0,30.311637,59.745139,4438,55,1,1238803750,1243246218,0
GSM,250,1,150,8783,0,30.394363,59.728546,1000,4,1,1238783951,1238783951,0
GSM,250,1,150,15131,0,30.398178,59.725113,1000,9,1,1238784362,1238784362,0
GSM,250,1,150,15134,0,30.39711,59.721817,1000,45,1,1238784369,1238784369,0
GSM,250,1,150,16966,0,30.405182,59.715332,1000,49,1,1238784372,1238784372,0
